2018-07-31 11:09:57.5816 Info Loading Cardigann definition /app/Jackett/Definitions/fullmixmusic.yml 
2018-07-31 11:09:57.5895 Info Loading Cardigann definition /app/Jackett/Definitions/funkytorrents.yml 
2018-07-31 11:09:57.5957 Info Loading Cardigann definition /app/Jackett/Definitions/gay-torrents.yml 
2018-07-31 11:09:57.6194 Info Loading Cardigann definition /app/Jackett/Definitions/gay-torrentsorg.yml 
2018-07-31 11:09:57.6409 Info Loading Cardigann definition /app/Jackett/Definitions/gaytorrentru.yml 
2018-07-31 11:09:57.6520 Info Loading Cardigann definition /app/Jackett/Definitions/gfxnews.yml 
2018-07-31 11:09:57.7138 Info Loading Cardigann definition /app/Jackett/Definitions/gfxpeers.yml 
2018-07-31 11:09:57.7232 Info Loading Cardigann definition /app/Jackett/Definitions/gigatorrents.yml 
2018-07-31 11:09:57.7358 Info Loading Cardigann definition /app/Jackett/Definitions/girotorrent.yml 
2018-07-31 11:09:57.7606 Info Loading Cardigann definition /app/Jackett/Definitions/gktorrent.yml 
2018-07-31 11:09:57.7675 Info Loading Cardigann definition /app/Jackett/Definitions/gods.yml 
2018-07-31 11:09:57.7827 Info Loading Cardigann definition /app/Jackett/Definitions/greekteam.yml 
2018-07-31 11:09:57.8133 Info Loading Cardigann definition /app/Jackett/Definitions/hachede.yml 
2018-07-31 11:09:57.8295 Info Loading Cardigann definition /app/Jackett/Definitions/hdbits.yml 
2018-07-31 11:09:57.8452 Info Loading Cardigann definition /app/Jackett/Definitions/hdbitscom.yml 
2018-07-31 11:09:57.8545 Info Loading Cardigann definition /app/Jackett/Definitions/hdchina.yml 
2018-07-31 11:09:57.8648 Info Loading Cardigann definition /app/Jackett/Definitions/hdcity.yml 
2018-07-31 11:09:57.8880 Info Loading Cardigann definition /app/Jackett/Definitions/hdhome.yml 
2018-07-31 11:09:57.9004 Info Loading Cardigann definition /app/Jackett/Definitions/hdme.yml 
2018-07-31 11:09:57.9105 Info Loading Cardigann definition /app/Jackett/Definitions/hdsky.yml 
2018-07-31 11:09:57.9184 Info Loading Cardigann definition /app/Jackett/Definitions/hdspain.yml 
2018-07-31 11:09:57.9264 Info Loading Cardigann definition /app/Jackett/Definitions/hdtorrentsit.yml 
2018-07-31 11:09:57.9324 Info Loading Cardigann definition /app/Jackett/Definitions/hon3yhd.yml 
2018-07-31 11:09:57.9450 Info Loading Cardigann definition /app/Jackett/Definitions/horriblesubs.yml 
2018-07-31 11:09:57.9493 Info Loading Cardigann definition /app/Jackett/Definitions/hyperay.yml 
2018-07-31 11:09:57.9556 Info Loading Cardigann definition /app/Jackett/Definitions/icetorrent.yml 
2018-07-31 11:09:57.9635 Info Loading Cardigann definition /app/Jackett/Definitions/idope.yml 
2018-07-31 11:09:57.9702 Info Loading Cardigann definition /app/Jackett/Definitions/ilcorsaroblu.yml 
2018-07-31 11:09:57.9865 Info Loading Cardigann definition /app/Jackett/Definitions/ilcorsaronero.yml 
2018-07-31 11:09:57.9944 Info Loading Cardigann definition /app/Jackett/Definitions/iloveclassics.yml 
2018-07-31 11:09:58.0030 Info Loading Cardigann definition /app/Jackett/Definitions/inperil.yml 
2018-07-31 11:09:58.0115 Info Loading Cardigann definition /app/Jackett/Definitions/insanetracker.yml 
2018-07-31 11:09:58.0244 Info Loading Cardigann definition /app/Jackett/Definitions/isohunt2.yml 
2018-07-31 11:09:58.0333 Info Loading Cardigann definition /app/Jackett/Definitions/jpopsuki.yml 
2018-07-31 11:09:58.0429 Info Loading Cardigann definition /app/Jackett/Definitions/kapaki.yml 
2018-07-31 11:09:58.0588 Info Loading Cardigann definition /app/Jackett/Definitions/karagarga.yml 
2018-07-31 11:09:58.0785 Info Loading Cardigann definition /app/Jackett/Definitions/kickasstorrent-kathow.yml 
2018-07-31 11:09:58.0848 Info Loading Cardigann definition /app/Jackett/Definitions/kickasstorrent.yml 
2018-07-31 11:09:58.1076 Info Loading Cardigann definition /app/Jackett/Definitions/kinozal.yml 
2018-07-31 11:09:58.1161 Info Loading Cardigann definition /app/Jackett/Definitions/limetorrents.yml 
2018-07-31 11:09:58.1215 Info Loading Cardigann definition /app/Jackett/Definitions/linkomanija.yml 
